t,l2_u,l2_v,l2_p
0.0,,,
0.009999999776482582,1.8846373558044434,,0.12576985359191895
0.019999999552965164,0.5547450184822083,2.4189822673797607,0.0847397893667221
0.029999999329447746,0.30947959423065186,1.329946517944336,0.07098004966974258
0.03999999910593033,0.21930600702762604,0.9446704387664795,0.06344493478536606
0.05000000074505806,0.1745779663324356,0.7498360872268677,0.05803470313549042
0.05999999865889549,0.1483398675918579,0.6319917440414429,0.05338166281580925
0.07000000029802322,0.13113053143024445,0.5527951121330261,0.04890061914920807
0.07999999821186066,0.11885413527488708,0.4956103563308716,0.044313643127679825
0.09000000357627869,0.10947892814874649,0.45202866196632385,0.03949679806828499
0.10000000149011612,0.10189802944660187,0.41736462712287903,0.034428298473358154
0.10999999940395355,0.0954686775803566,0.38882333040237427,0.029181821271777153
0.11999999731779099,0.08980031311511993,0.364652544260025,0.02396269515156746
0.12999999523162842,0.08465089648962021,0.34370723366737366,0.019224833697080612
0.14000000059604645,0.07987117767333984,0.32521307468414307,0.01591097190976143
0.15000000596046448,0.07537206262350082,0.308630108833313,0.015421482734382153
0.1599999964237213,0.07110574096441269,0.293571799993515,0.018243830651044846
0.17000000178813934,0.06705392152070999,0.2797551453113556,0.023303693160414696
0.18000000715255737,0.06321891397237778,0.26696959137916565,0.029471037909388542
0.1899999976158142,0.05961810052394867,0.2550581097602844,0.0361170768737793
0.20000000298023224,0.05627960339188576,0.24390412867069244,0.04290921241044998
0.20999999344348907,0.053237639367580414,0.23342233896255493,0.04964771494269371
0.2199999988079071,0.05052879825234413,0.2235536277294159,0.05619332566857338
0.23000000417232513,0.04818737506866455,0.21425992250442505,0.06243716925382614
0.23999999463558197,0.04624047502875328,0.205519899725914,0.06828637421131134
0.25,0.04470347985625267,0.19732566177845,0.07365697622299194
0.25999999046325684,0.04357566684484482,0.1896786093711853,0.07846961915493011
0.27000001072883606,0.04283827915787697,0.18258512020111084,0.08264638483524323
0.2800000011920929,0.04245461896061897,0.1760525107383728,0.08610828965902328
0.28999999165534973,0.04237300902605057,0.17008477449417114,0.08877354115247726
0.30000001192092896,0.04253118485212326,0.16467811167240143,0.09055536985397339
0.3100000023841858,0.04286182299256325,0.15981829166412354,0.09136012941598892
0.3199999928474426,0.04329713433980942,0.15547820925712585,0.09108652919530869
0.33000001311302185,0.04377267137169838,0.15161733329296112,0.08962460607290268
0.3400000035762787,0.04423004016280174,0.14818260073661804,0.08685735613107681
0.3499999940395355,0.04461818188428879,0.14511139690876007,0.08266803622245789
0.36000001430511475,0.04489437863230705,0.14233575761318207,0.07695891708135605
0.3700000047683716,0.04502497985959053,0.13978727161884308,0.0697004646062851
0.3799999952316284,0.04498588666319847,0.13740256428718567,0.061070725321769714
0.38999998569488525,0.04476382955908775,0.1351291835308075,0.05184727907180786
0.4000000059604645,0.044358231127262115,0.13293109834194183,0.044487129896879196
0.4099999964237213,0.043784137815237045,0.13079313933849335,0.04463836923241615
0.41999998688697815,0.043076641857624054,0.12872561812400818,0.05782805383205414
0.4300000071525574,0.042296987026929855,0.12676721811294556,0.0836997926235199
0.4399999976158142,0.041540566831827164,0.1249886006116867,0.12051587551832199
0.44999998807907104,0.04094524681568146,0.12349384278059006,0.1684993952512741
0.46000000834465027,0.04069758206605911,0.12242011725902557,0.22955797612667084
0.4699999988079071,0.041030701249837875,0.1219356581568718,0.3070529103279114
0.47999998927116394,0.042206618934869766,0.1222342923283577,0.4060366749763489
0.49000000953674316,0.044481463730335236,0.12352540343999863,0.5338330864906311
0.5,0.04806431010365486,0.12602172791957855,0.7007550001144409
