t,ref_norm,pred_norm,ref_rms,pred_rms,ref_max_abs,pred_max_abs,pred_ref_norm_ratio,cosine,l2,near_zero_ref
0.0,0.0,1.684112,0.0,0.012649986892938614,0.0,0.05157144367694855,nan,nan,nan,True
0.009999999776482582,0.009046613,1.5539014,6.795246008550748e-05,0.011671927757561207,0.00039301521610468626,0.04695870727300644,171.76609802246094,-0.11480914801359177,nan,True
0.019999999552965164,0.04077683,1.4522147,0.00030628987587988377,0.01090812124311924,0.0018084305338561535,0.042193397879600525,35.61372375488281,-0.0035842452198266983,35.63134,False
0.029999999329447746,0.096247494,1.3908112,0.0007229504990391433,0.010446896776556969,0.004145339597016573,0.04529799520969391,14.450363159179688,0.1141643226146698,14.370581,False
0.03999999910593033,0.17564197,1.3808203,0.0013193117920309305,0.010371851734817028,0.0074297660030424595,0.052677854895591736,7.861562252044678,0.23470225930213928,7.6885567,False
0.05000000074505806,0.27896997,1.429034,0.00209544668905437,0.010734002105891705,0.011545509099960327,0.06049798056483269,5.122537136077881,0.34515100717544556,4.8687043,False
0.05999999865889549,0.40610528,1.5354116,0.0030504069291055202,0.011533044278621674,0.01644059270620346,0.06863372772932053,3.7808215618133545,0.43452221155166626,3.4653869,False
0.07000000029802322,0.5568,1.6940312,0.004182330798357725,0.012724494561553001,0.02221754379570484,0.07724756002426147,3.0424411296844482,0.49958130717277527,2.686364,False
0.07999999821186066,0.7306927,1.896345,0.005488503258675337,0.014244149439036846,0.02878757007420063,0.08611074835062027,2.5952703952789307,0.5435831546783447,2.2167397,False
0.09000000357627869,0.92731464,2.1339936,0.006965402513742447,0.01602921448647976,0.03609009087085724,0.0953216552734375,2.3012616634368896,0.5720601677894592,1.9138659,False
0.10000000149011612,1.1460946,2.4000747,0.008608739823102951,0.01802784763276577,0.04425559565424919,0.10500085353851318,2.094133138656616,0.5900360345840454,1.7070915,False
0.10999999940395355,1.3863641,2.6893106,0.010413493029773235,0.02020040526986122,0.0531608872115612,0.11490847170352936,1.93982994556427,0.6011996269226074,1.5590016,False
0.11999999731779099,1.6473616,2.9977639,0.012373942881822586,0.022517310455441475,0.06276463717222214,0.12512779235839844,1.819736361503601,0.6080135107040405,1.4486498,False
0.12999999523162842,1.9282372,3.3224862,0.01448370236903429,0.024956421926617622,0.07304668426513672,0.13584288954734802,1.723069190979004,0.6120603084564209,1.3637158,False
0.14000000059604645,2.2280574,3.6612272,0.016735762357711792,0.027500832453370094,0.08398928493261337,0.14675776660442352,1.6432373523712158,0.614338755607605,1.296617,False
0.15000000596046448,2.5458095,4.012209,0.019122516736388206,0.030137185007333755,0.09557677060365677,0.15784849226474762,1.576005220413208,0.6154842972755432,1.2424879,False
0.1599999964237213,2.8804069,4.3739753,0.02163580060005188,0.03285454586148262,0.10779527574777603,0.16951176524162292,1.5185269117355347,0.6158981919288635,1.1980841,False
0.17000000178813934,3.2306926,4.74529,0.0242669265717268,0.035643626004457474,0.12063230574131012,0.1813407689332962,1.4688149690628052,0.6158376336097717,1.1611681,False
0.18000000715255737,3.5954452,5.1250587,0.027006717398762703,0.03849620744585991,0.1340763419866562,0.19329066574573517,1.4254308938980103,0.6154683232307434,1.130148,False
0.1899999976158142,3.9733822,5.512283,0.029845543205738068,0.04140479490160942,0.1481163203716278,0.2055572122335434,1.3873023986816406,0.6148975491523743,1.1038603,False
0.20000000298023224,4.3631644,5.906024,0.03277333825826645,0.044362325221300125,0.16274107992649078,0.21814852952957153,1.3536102771759033,0.6141933798789978,1.0814346,False
0.20999999344348907,4.763399,6.305377,0.03577965125441551,0.04736201465129852,0.17793866991996765,0.23078283667564392,1.323713779449463,0.6133995056152344,1.0622073,False
0.2199999988079071,5.1726437,6.7094574,0.03885364159941673,0.05039721354842186,0.19369560480117798,0.24341629445552826,1.2971041202545166,0.6125440001487732,1.0456622,False
0.23000000417232513,5.5894094,7.1173825,0.04198412224650383,0.053461287170648575,0.20999589562416077,0.2564837336540222,1.273369312286377,0.6116442680358887,1.0313917,False
0.23999999463558197,6.01216,7.5282702,0.04515955224633217,0.0565476194024086,0.22682006657123566,0.2695732116699219,1.2521740198135376,0.6107107996940613,1.0190711,False
0.25,6.439315,7.941227,0.048368073999881744,0.05964948982000351,0.24414381384849548,0.2825573682785034,1.2332409620285034,0.6097491979598999,1.008437,False
0.25999999046325684,6.869251,8.355348,0.0515974797308445,0.06276009976863861,0.26193666458129883,0.2954862415790558,1.21634042263031,0.6087659001350403,0.99927455,False
0.27000001072883606,7.3003,8.769712,0.054835252463817596,0.06587255001068115,0.28016045689582825,0.30874988436698914,1.2012810707092285,0.6077626943588257,0.9914063,False
0.2800000011920929,7.7307534,9.183381,0.058068547397851944,0.06897976994514465,0.2987678050994873,0.32178401947021484,1.1879024505615234,0.6067440509796143,0.98468417,False
0.28999999165534973,8.15886,9.595403,0.06128420680761337,0.07207461446523666,0.3177005648612976,0.3345330059528351,1.1760715246200562,0.6057161688804626,0.9789837,False
0.30000001192092896,8.5828285,10.004808,0.06446880102157593,0.07514981180429459,0.33688876032829285,0.34727299213409424,1.1656773090362549,0.604684591293335,0.97420025,False
0.3100000023841858,9.000836,10.410618,0.06760861724615097,0.07819799333810806,0.35624977946281433,0.3600230813026428,1.1566277742385864,0.6036565899848938,0.9702438,False
0.3199999928474426,9.4110365,10.811843,0.07068977504968643,0.08121174573898315,0.37568819522857666,0.3723466694355011,1.148847222328186,0.6026410460472107,0.96703774,False
0.33000001311302185,9.811565,11.207491,0.07369829714298248,0.08418360352516174,0.3950965404510498,0.3841905891895294,1.1422734260559082,0.6016488075256348,0.9645162,False
0.3400000035762787,10.200565,11.596571,0.07662021368741989,0.0871061310172081,0.4143567681312561,0.3962509334087372,1.1368557214736938,0.6006900668144226,0.962623,False
0.3499999940395355,10.576198,11.978103,0.07944172620773315,0.08997195214033127,0.43334269523620605,0.40781331062316895,1.1325528621673584,0.5997764468193054,0.96131,False
0.36000001430511475,10.936673,12.351123,0.08214939385652542,0.09277384728193283,0.45192307233810425,0.41875118017196655,1.1293308734893799,0.5989184379577637,0.960537,False
0.3700000047683716,11.280275,12.714692,0.08473032712936401,0.0955047532916069,0.46996524930000305,0.4294258952140808,1.1271615028381348,0.5981273651123047,0.9602702,False
0.3799999952316284,11.605388,13.067912,0.08717235922813416,0.09815791249275208,0.48733922839164734,0.43980872631073,1.126021146774292,0.5974106788635254,0.96048266,False
