t,l2_u,l2_v,l2_p
0.0,,,
0.009999999776482582,39.132049560546875,,0.7939732074737549
0.019999999552965164,11.061176300048828,26.146936416625977,0.846235990524292
0.029999999329447746,5.419039249420166,11.302741050720215,0.8675241470336914
0.03999999910593033,3.2810943126678467,6.437162399291992,0.8781192898750305
0.05000000074505806,2.2169179916381836,4.279088973999023,0.8840087056159973
0.05999999865889549,1.601579189300537,3.143493890762329,0.8873966932296753
0.07000000029802322,1.2120929956436157,2.4763903617858887,0.8892727494239807
0.07999999821186066,0.9516011476516724,2.053391456604004,0.8901448845863342
0.09000000357627869,0.7720347046852112,1.7698489427566528,0.8903000950813293
0.10000000149011612,0.6469987630844116,1.5716907978057861,0.8899118900299072
0.10999999940395355,0.5606250166893005,1.4286961555480957,0.8890907168388367
0.11999999731779099,0.5024466514587402,1.3228905200958252,0.8879097700119019
0.12999999523162842,0.4649282395839691,1.2430338859558105,0.8864187002182007
0.14000000059604645,0.4423258900642395,1.1817998886108398,0.8846518993377686
0.15000000596046448,0.43020546436309814,1.1342436075210571,0.8826330304145813
0.1599999964237213,0.4252152442932129,1.096929669380188,0.8803786039352417
0.17000000178813934,0.42490872740745544,1.067409634590149,0.877898633480072
0.18000000715255737,0.4275593161582947,1.0438995361328125,0.8751991391181946
0.1899999976158142,0.4319813549518585,1.0250738859176636,0.8722823262214661
0.20000000298023224,0.4373767673969269,1.0099310874938965,0.8691469430923462
0.20999999344348907,0.44321632385253906,0.9977003931999207,0.8657887578010559
0.2199999988079071,0.44915369153022766,0.9877811670303345,0.8622005581855774
0.23000000417232513,0.45496562123298645,0.9796974658966064,0.858372151851654
0.23999999463558197,0.4605107009410858,0.9730682373046875,0.8542900085449219
0.25,0.46570196747779846,0.967584490776062,0.8499374389648438
0.25999999046325684,0.47048860788345337,0.9629933834075928,0.8452938199043274
0.27000001072883606,0.4748433530330658,0.9590868353843689,0.8403345346450806
0.2800000011920929,0.478754460811615,0.9556926488876343,0.8350303173065186
0.28999999165534973,0.4822201430797577,0.9526691436767578,0.8293462991714478
0.30000001192092896,0.4852447211742401,0.9499002695083618,0.8232415914535522
0.3100000023841858,0.4878365993499756,0.9472914934158325,0.8166681528091431
0.3199999928474426,0.49000614881515503,0.9447675943374634,0.8095691800117493
0.33000001311302185,0.49176478385925293,0.9422711730003357,0.8018782138824463
0.3400000035762787,0.49312448501586914,0.9397585391998291,0.7935169339179993
0.3499999940395355,0.4940969944000244,0.9372004270553589,0.7843927145004272
0.36000001430511475,0.4946935772895813,0.9345787167549133,0.7743964791297913
0.3700000047683716,0.4949250817298889,0.9318858981132507,0.7633987069129944
0.3799999952316284,0.4948013722896576,0.9291236400604248,0.751246452331543
0.38999998569488525,0.4943317472934723,0.9263022541999817,0.7377588152885437
0.4000000059604645,0.493524432182312,0.9234398603439331,0.7227236032485962
0.4099999964237213,0.4923868477344513,0.9205614328384399,0.7058941125869751
0.41999998688697815,0.4909256100654602,0.917698860168457,0.6869919300079346
0.4300000071525574,0.48914676904678345,0.9148915410041809,0.6657198071479797
0.4399999976158142,0.48705556988716125,0.9121851325035095,0.6418021321296692
0.44999998807907104,0.48465701937675476,0.9096324443817139,0.615088701248169
0.46000000834465027,0.4819559156894684,0.9072940945625305,0.5858058929443359
0.4699999988079071,0.47895774245262146,0.9052384495735168,0.5551552772521973
0.47999998927116394,0.47566837072372437,0.9035423994064331,0.5266999006271362
0.49000000953674316,0.472095251083374,0.9022919535636902,0.5092962980270386
0.5,0.46824803948402405,0.901583731174469,0.5217468738555908
