t,l2_u,l2_v,l2_p
0.0,,,
0.009999999776482582,12.461864471435547,,1.0079448223114014
0.019999999552965164,3.9721930027008057,13.39453411102295,1.0073899030685425
0.029999999329447746,2.1290953159332275,6.5671067237854,1.0075104236602783
0.03999999910593033,1.3761887550354004,4.24461030960083,1.0076797008514404
0.05000000074505806,0.9849487543106079,3.1562070846557617,1.0078562498092651
0.05999999865889549,0.7590328454971313,2.54490065574646,1.0080366134643555
0.07000000029802322,0.6236693859100342,2.1602542400360107,1.0082215070724487
0.07999999821186066,0.5430824756622314,1.8991154432296753,1.0084117650985718
0.09000000357627869,0.4969269037246704,1.7120863199234009,1.008608341217041
0.10000000149011612,0.4723409116268158,1.57277250289917,1.0088119506835938
0.10999999940395355,0.4609360694885254,1.4658563137054443,1.0090231895446777
0.11999999731779099,0.4573217034339905,1.3818610906600952,1.0092424154281616
0.12999999523162842,0.45812705159187317,1.3146203756332397,1.0094704627990723
0.14000000059604645,0.46129414439201355,1.2599557638168335,1.0097081661224365
0.15000000596046448,0.46558889746665955,1.2149403095245361,1.0099560022354126
0.1599999964237213,0.4702826738357544,1.1774653196334839,1.010215401649475
0.17000000178813934,0.47495409846305847,1.14597749710083,1.0104870796203613
0.18000000715255737,0.47936755418777466,1.1193093061447144,1.010772943496704
0.1899999976158142,0.48339980840682983,1.0965696573257446,1.011074185371399
0.20000000298023224,0.48699504137039185,1.077071189880371,1.0113930702209473
0.20999999344348907,0.49013787508010864,1.0602790117263794,1.0117316246032715
0.2199999988079071,0.49283599853515625,1.0457745790481567,1.0120930671691895
0.23000000417232513,0.4951101243495941,1.0332313776016235,1.0124801397323608
0.23999999463558197,0.4969874620437622,1.022395133972168,1.0128968954086304
0.25,0.49849700927734375,1.0130685567855835,1.0133475065231323
0.25999999046325684,0.49966737627983093,1.0050992965698242,1.0138370990753174
0.27000001072883606,0.5005251169204712,0.9983693361282349,1.0143717527389526
0.2800000011920929,0.5010935664176941,0.9927847385406494,1.0149582624435425
0.28999999165534973,0.5013922452926636,0.9882679581642151,1.0156049728393555
0.30000001192092896,0.5014367699623108,0.9847505688667297,1.0163214206695557
0.3100000023841858,0.5012389421463013,0.982164740562439,1.0171186923980713
0.3199999928474426,0.5008067488670349,0.9804394841194153,1.018010139465332
0.33000001311302185,0.5001448392868042,0.979495108127594,1.0190116167068481
0.3400000035762787,0.49925512075424194,0.9792413711547852,1.0201417207717896
0.3499999940395355,0.4981372356414795,0.9795761108398438,1.0214229822158813
0.36000001430511475,0.4967891275882721,0.9803853034973145,1.0228825807571411
0.3700000047683716,0.4952080547809601,0.9815448522567749,1.0245532989501953
0.3799999952316284,0.4933907389640808,0.9829234480857849,1.0264753103256226
0.38999998569488525,0.4913345277309418,0.9843866229057312,1.0286986827850342
0.4000000059604645,0.48903727531433105,0.9857998490333557,1.0312854051589966
0.4099999964237213,0.48649823665618896,0.9870331287384033,1.0343140363693237
0.41999998688697815,0.48371773958206177,0.9879657030105591,1.0378847122192383
0.4300000071525574,0.4806981682777405,0.9884889125823975,1.0421268939971924
0.4399999976158142,0.4774426519870758,0.9885098934173584,1.0472092628479004
0.44999998807907104,0.47395631670951843,0.9879539608955383,1.053355097770691
0.46000000834465027,0.470244824886322,0.9867675304412842,1.0608609914779663
0.4699999988079071,0.4663151204586029,0.9849185943603516,1.0701215267181396
0.47999998927116394,0.46217411756515503,0.9823982119560242,1.081653356552124
0.49000000953674316,0.45782914757728577,0.9792205095291138,1.0960981845855713
0.5,0.45328715443611145,0.9754233956336975,1.1141246557235718
