t,L2_u_pct,L2_v_pct,L2_p_demeaned_pct,L2_velocity_combined_pct,ref_rms_u,pred_rms_u,ref_rms_v,pred_rms_v,ref_rms_p_demeaned,pred_rms_p_demeaned
0.0,nan,nan,nan,nan,0.0,0.0012045551557093859,0.0,0.0008812347077764571,0.0,0.0014931921614333987
0.009999999776482582,201.81969,nan,7.855229,237.8278,0.0006736696814186871,0.0016909162513911724,6.795246008550748e-05,0.0008695203578099608,0.042294781655073166,0.0451376810669899
0.019999999552965164,66.10338,301.62146,3.0999477,73.88007,0.0027147086802870035,0.003712434321641922,0.00030628987587988377,0.0010135696502402425,0.08843126893043518,0.09047558903694153
0.029999999329447746,37.474228,146.22243,1.5055376,40.974106,0.006124161183834076,0.00716569134965539,0.0007229504990391433,0.0013906128006055951,0.1351812779903412,0.1360180377960205
0.03999999910593033,25.684715,94.76239,1.0850043,27.92788,0.01089403871446848,0.011958878487348557,0.0013193117920309305,0.0019998520147055387,0.1821974217891693,0.18160691857337952
0.05000000074505806,19.36964,71.209755,1.2705438,21.103956,0.017009971663355827,0.01806609146296978,0.00209544668905437,0.002816700842231512,0.22920404374599457,0.2270812690258026
0.05999999865889549,15.498823,58.182526,1.558147,16.982622,0.02445167489349842,0.025470519438385963,0.0030504069291055202,0.0038250358775258064,0.27595579624176025,0.2722730040550232
0.07000000029802322,12.923665,50.017487,1.803816,14.265614,0.0331932008266449,0.03415275737643242,0.004182330798357725,0.005015970207750797,0.32222455739974976,0.3170076608657837
0.07999999821186066,11.11087,44.423912,1.992536,12.362641,0.04320315644145012,0.04408830404281616,0.005488503258675337,0.006383579224348068,0.3677939772605896,0.3611049950122833
0.09000000357627869,9.778788,40.326725,2.1320014,10.966925,0.05444491654634476,0.05524689704179764,0.006965402513742447,0.007922611199319363,0.41245707869529724,0.40438008308410645
0.10000000149011612,8.76535,37.16419,2.2326126,9.9041605,0.06687676161527634,0.06759239733219147,0.008608739823102951,0.009627525694668293,0.456015020608902,0.44664499163627625
0.10999999940395355,7.971622,34.61775,2.3038507,9.068989,0.08045214414596558,0.08108292520046234,0.010413493029773235,0.011492089368402958,0.49827679991722107,0.48771026730537415
0.11999999731779099,7.334581,32.494873,2.3538234,8.394797,0.09511985629796982,0.09567085653543472,0.012373942881822586,0.013509211130440235,0.5390592813491821,0.527386486530304
0.12999999523162842,6.812822,30.673424,2.3893871,7.8380575,0.11082427948713303,0.11130305379629135,0.01448370236903429,0.015670964494347572,0.5781875252723694,0.5654863119125366
0.14000000059604645,6.3784294,29.072746,2.4162698,7.369543,0.1275056153535843,0.12792111933231354,0.016735762357711792,0.017968619242310524,0.6154950857162476,0.6018264889717102
0.15000000596046448,6.012202,27.637981,2.439375,6.969207,0.14510007202625275,0.14546160399913788,0.019122516736388206,0.020392708480358124,0.6508244276046753,0.6362294554710388
0.1599999964237213,5.700642,26.330996,2.4628541,6.6230164,0.1635403037071228,0.16385620832443237,0.02163580060005188,0.022933131083846092,0.6840277910232544,0.6685254573822021
0.17000000178813934,5.4340734,25.12511,2.4902155,6.3209915,0.1827555149793625,0.18303237855434418,0.0242669265717268,0.025579256936907768,0.7149672508239746,0.6985543966293335
0.18000000715255737,5.205362,24.001492,2.5244465,6.055874,0.2026718109846115,0.20291343331336975,0.027006717398762703,0.028319992125034332,0.7435158491134644,0.726167619228363
0.1899999976158142,5.0091124,22.947104,2.568094,5.8223042,0.22321252524852753,0.22341899573802948,0.029845543205738068,0.031143883243203163,0.769557535648346,0.751228928565979
0.20000000298023224,4.841106,21.953161,2.6232607,5.6162386,0.2442985475063324,0.24446573853492737,0.03277333825826645,0.03403922915458679,0.7929879426956177,0.7736170291900635
0.20999999344348907,4.697903,21.014225,2.6916976,5.4345403,0.2658485174179077,0.26596736907958984,0.03577965125441551,0.0369940884411335,0.813714861869812,0.7932256460189819
0.2199999988079071,4.5766106,20.127354,2.7747865,5.274718,0.2877793610095978,0.2878357172012329,0.03885364159941673,0.039996422827243805,0.8316582441329956,0.8099654912948608
0.23000000417232513,4.474722,19.29157,2.8736024,5.1347365,0.3100064694881439,0.30998075008392334,0.04198412224650383,0.04303411394357681,0.8467511534690857,0.8237642049789429
0.23999999463558197,4.3899927,18.507353,2.9888365,5.0128665,0.3324440121650696,0.3323114216327667,0.04515955224633217,0.04609503224492073,0.8589393496513367,0.8345679640769958
0.25,4.320375,17.776209,3.1208665,4.9075804,0.3550054132938385,0.35473620891571045,0.048368073999881744,0.04916710406541824,0.868181586265564,0.8423410654067993
0.25999999046325684,4.2640038,17.100208,3.2697167,4.817502,0.377603679895401,0.37716343998908997,0.0515974797308445,0.0522383488714695,0.8744499087333679,0.8470667600631714
0.27000001072883606,4.2191534,16.481613,3.43504,4.741337,0.4001515805721283,0.39950236678123474,0.054835252463817596,0.05529695376753807,0.8777294158935547,0.8487471342086792
0.2800000011920929,4.184237,15.922381,3.6161137,4.677841,0.4225620925426483,0.4216630160808563,0.058068547397851944,0.05833127349615097,0.8780178427696228,0.8474026918411255
0.28999999165534973,4.157803,15.423822,3.8118324,4.6258016,0.4447489082813263,0.4435572624206543,0.06128420680761337,0.06132996082305908,0.8753261566162109,0.8430727124214172
0.30000001192092896,4.1385136,14.986281,4.0206566,4.5840096,0.46662643551826477,0.46509936451911926,0.06446880102157593,0.06428197026252747,0.8696774244308472,0.8358144760131836
0.3100000023841858,4.1251616,14.608807,4.2405725,4.551266,0.48811042308807373,0.4862060248851776,0.06760861724615097,0.06717659533023834,0.8611069917678833,0.8257027268409729
0.3199999928474426,4.116638,14.289096,4.4691,4.526368,0.5091180205345154,0.5067972540855408,0.07068977504968643,0.07000356912612915,0.8496620655059814,0.8128292560577393
0.33000001311302185,4.111943,14.023452,4.7031646,4.508126,0.5295683741569519,0.5267968773841858,0.07369829714298248,0.07275307178497314,0.835401177406311,0.7973020076751709
0.3400000035762787,4.1101623,13.80696,4.9390306,4.495365,0.549382746219635,0.5461323261260986,0.07662021368741989,0.07541581243276596,0.8183934092521667,0.7792443037033081
0.3499999940395355,4.1104565,13.633773,5.1723223,4.486934,0.5684846639633179,0.5647358894348145,0.07944172620773315,0.0779830738902092,0.7987189292907715,0.7587937116622925
0.36000001430511475,4.112047,13.497479,5.3979692,4.4817195,0.5868006348609924,0.5825442671775818,0.08214939385652542,0.0804467499256134,0.7764685750007629,0.7361014485359192
0.3700000047683716,4.1142216,13.391531,5.6100087,4.478671,0.6042600274085999,0.5994992256164551,0.08473032712936401,0.08279935270547867,0.7517425417900085,0.7113309502601624
0.3799999952316284,4.1163077,13.309635,5.8019843,4.476803,0.6207953691482544,0.6155480146408081,0.08717235922813416,0.08503413200378418,0.7246524095535278,0.6846568584442139
0.38999998569488525,4.1176887,13.246186,5.9668927,4.4752264,0.6363428235054016,0.6306430101394653,0.08946429938077927,0.08714503794908524,0.6953192949295044,0.6562640070915222
0.4000000059604645,4.117804,13.19654,6.0982103,4.473168,0.6508422493934631,0.6447424292564392,0.09159606695175171,0.08912673592567444,0.663877010345459,0.6263459920883179
