t,ref_norm,pred_norm,ref_rms,pred_rms,ref_max_abs,pred_max_abs,pred_ref_norm_ratio,cosine,l2,near_zero_ref
0.0,0.0,1.0762154,0.0,0.008083852007985115,0.0,0.02660250850021839,nan,nan,nan,True
0.009999999776482582,0.009046613,1.0519397,6.795246008550748e-05,0.00790150836110115,0.00039301521610468626,0.024835413321852684,116.27994537353516,0.03927221894264221,nan,True
0.019999999552965164,0.04077683,1.055067,0.00030628987587988377,0.007924998179078102,0.0018084305338561535,0.029055088758468628,25.874177932739258,0.15824644267559052,25.73488,False
0.029999999329447746,0.096247494,1.0912365,0.0007229504990391433,0.008196679875254631,0.004145339597016573,0.035122185945510864,11.337817192077637,0.272540420293808,11.107028,False
0.03999999910593033,0.17564197,1.1636276,0.0013193117920309305,0.008740436285734177,0.0074297660030424595,0.04157128185033798,6.624997615814209,0.37437689304351807,6.3190265,False
0.05000000074505806,0.27896997,1.2725198,0.00209544668905437,0.009558366611599922,0.011545509099960327,0.0484870970249176,4.561493873596191,0.45781171321868896,4.1988816,False
0.05999999865889549,0.40610528,1.4159871,0.0030504069291055202,0.010636002756655216,0.01644059270620346,0.05573686212301254,3.4867489337921143,0.5216867327690125,3.085358,False
0.07000000029802322,0.5568,1.5910826,0.004182330798357725,0.011951208114624023,0.02221754379570484,0.0633024200797081,2.8575477600097656,0.5683587193489075,2.4325607,False
0.07999999821186066,0.7306927,1.7947791,0.005488503258675337,0.01348124910145998,0.02878757007420063,0.07128674536943436,2.456270694732666,0.6015027761459351,2.0194936,False
0.09000000357627869,0.92731464,2.024433,0.006965402513742447,0.015206262469291687,0.03609009087085724,0.0796881690621376,2.1831133365631104,0.624651312828064,1.7431607,False
0.10000000149011612,1.1460946,2.2779014,0.008608739823102951,0.017110157757997513,0.04425559565424919,0.08854226768016815,1.9875335693359375,0.640636682510376,1.5503902,False
0.10999999940395355,1.3863641,2.553484,0.010413493029773235,0.019180161878466606,0.0531608872115612,0.09924539178609848,1.8418567180633545,0.6515451073646545,1.411497,False
0.11999999731779099,1.6473616,2.8498085,0.012373942881822586,0.021405963227152824,0.06276463717222214,0.11074476689100266,1.7299227714538574,0.6588550806045532,1.3088514,False
0.12999999523162842,1.9282372,3.1657202,0.01448370236903429,0.023778893053531647,0.07304668426513672,0.12279347330331802,1.6417690515518188,0.6635953783988953,1.2314475,False
0.14000000059604645,2.2280574,3.500184,0.016735762357711792,0.026291176676750183,0.08398928493261337,0.13536538183689117,1.5709577798843384,0.6664811372756958,1.1721245,False
0.15000000596046448,2.5458095,3.8522146,0.019122516736388206,0.02893540821969509,0.09557677060365677,0.14863605797290802,1.5131590366363525,0.6680180430412292,1.1260598,False
0.1599999964237213,2.8804069,4.220821,0.02163580060005188,0.031704146414995193,0.10779527574777603,0.162374347448349,1.4653557538986206,0.6685623526573181,1.0899098,False
0.17000000178813934,3.2306926,4.6049685,0.0242669265717268,0.03458961844444275,0.12063230574131012,0.17652899026870728,1.4253811836242676,0.6683666110038757,1.0612974,False
0.18000000715255737,3.5954452,5.0035486,0.027006717398762703,0.03758350387215614,0.1340763419866562,0.19132676720619202,1.3916354179382324,0.6676231622695923,1.0384938,False
