t,l2_u,l2_v,l2_p
0.0,,,
0.009999999776482582,38.83771896362305,,0.7971517443656921
0.019999999552965164,10.967241287231445,25.734880447387695,0.8469423651695251
0.029999999329447746,5.372503757476807,11.107028007507324,0.86747145652771
0.03999999910593033,3.2538869380950928,6.319026470184326,0.8776859045028687
0.05000000074505806,2.1996803283691406,4.19888162612915,0.8833359479904175
0.05999999865889549,1.5902442932128906,3.085357904434204,0.8865513801574707
0.07000000029802322,1.2045955657958984,2.432560682296753,0.8882911801338196
0.07999999821186066,0.9467719793319702,2.019493579864502,0.8890484571456909
0.09000000357627869,0.7691479921340942,1.7431607246398926,0.8891021013259888
0.10000000149011612,0.6455582976341248,1.5503902435302734,0.8886207938194275
0.10999999940395355,0.5602545738220215,1.4114969968795776,0.8877120018005371
0.11999999731779099,0.5028371810913086,1.3088513612747192,0.8864470720291138
0.12999999523162842,0.46582016348838806,1.231447458267212,0.884874165058136
0.14000000059604645,0.44350844621658325,1.1721245050430298,0.8830268383026123
0.15000000596046448,0.43151816725730896,1.1260597705841064,0.880928099155426
0.1599999964237213,0.4265451431274414,1.0899097919464111,0.8785936832427979
0.17000000178813934,0.42618200182914734,1.0612974166870117,0.8760334849357605
0.18000000715255737,0.42873111367225647,1.0384937524795532,0.8732531070709229
0.1899999976158142,0.433026522397995,1.0202174186706543,0.8702545166015625
0.20000000298023224,0.4382827877998352,1.0055017471313477,0.8670361638069153
0.20999999344348907,0.4439786672592163,0.9936050176620483,0.8635933995246887
0.2199999988079071,0.44977235794067383,0.983950138092041,0.859919011592865
0.23000000417232513,0.4554433226585388,0.9760807752609253,0.8560022115707397
0.23999999463558197,0.4608515501022339,0.9696314930915833,0.851829469203949
0.25,0.4659108519554138,0.9643065929412842,0.847383439540863
0.25999999046325684,0.4705706536769867,0.9598639011383057,0.8426430821418762
0.27000001072883606,0.4748038053512573,0.9561036825180054,0.8375833630561829
0.2800000011920929,0.47859853506088257,0.9528599381446838,0.8321741223335266
0.28999999165534973,0.48195287585258484,0.9499951004981995,0.8263800144195557
0.30000001192092896,0.4848710596561432,0.9473955035209656,0.820159375667572
0.3100000023841858,0.48736125230789185,0.9449670910835266,0.813463032245636
0.3199999928474426,0.4894336760044098,0.9426337480545044,0.8062333464622498
0.33000001311302185,0.49109938740730286,0.9403352737426758,0.7984025478363037
0.3400000035762787,0.49237024784088135,0.9380246996879578,0.7898909449577332
0.3499999940395355,0.4932575821876526,0.9356677532196045,0.7806046605110168
0.36000001430511475,0.4937722980976105,0.933241069316864,0.7704328298568726
0.3700000047683716,0.49392497539520264,0.9307311773300171,0.7592441439628601
0.3799999952316284,0.49372491240501404,0.9281337261199951,0.7468841671943665
0.38999998569488525,0.4931809604167938,0.925452709197998,0.7331703305244446
0.4000000059604645,0.4923008382320404,0.9226999878883362,0.7178890109062195
0.4099999964237213,0.4910914897918701,0.9198945164680481,0.700793445110321
0.41999998688697815,0.4895588755607605,0.9170629382133484,0.6816070675849915
0.4300000071525574,0.48770856857299805,0.9142388105392456,0.6600386500358582
0.4399999976158142,0.4855450689792633,0.9114630818367004,0.6358282566070557
0.44999998807907104,0.48307281732559204,0.9087842702865601,0.6088594794273376
0.46000000834465027,0.4802960455417633,0.9062589406967163,0.5794312953948975
0.4699999988079071,0.47721949219703674,0.9039518237113953,0.5488990545272827
0.47999998927116394,0.47384828329086304,0.901936411857605,0.5211417078971863
0.49000000953674316,0.4701891839504242,0.9002957940101624,0.505597710609436
0.5,0.46625110507011414,0.8991234302520752,0.5218172669410706
