t,l2_u,l2_v,l2_p_demeaned
0.0,nan,nan,nan
0.01,2.0181968212127686,nan,0.07855229079723358
0.02,0.6610338091850281,3.016214609146118,0.030999476090073586
0.03,0.3747422695159912,1.4622242450714111,0.01505537610501051
0.04,0.2568471431732178,0.9476239085197449,0.010850043036043644
0.05,0.19369639456272125,0.7120975852012634,0.01270543783903122
0.06,0.15498822927474976,0.5818252563476562,0.015581469051539898
0.07,0.12923665344715118,0.500174880027771,0.018038159236311913
0.08,0.1111087054014206,0.4442391097545624,0.01992535963654518
0.09,0.09778787940740585,0.4032672345638275,0.02132001332938671
0.1,0.0876535028219223,0.3716418743133545,0.02232612669467926
0.11,0.07971622049808502,0.34617748856544495,0.023038506507873535
0.12,0.07334581017494202,0.3249487280845642,0.02353823371231556
0.13,0.06812822073698044,0.30673423409461975,0.023893870413303375
0.14,0.06378429383039474,0.2907274663448334,0.024162696674466133
0.15,0.060122016817331314,0.2763798236846924,0.024393748492002487
0.16,0.05700642243027687,0.26330995559692383,0.024628542363643646
0.17,0.05434073507785797,0.25125110149383545,0.024902155622839928
0.18,0.05205361917614937,0.240014910697937,0.025244465097784996
0.19,0.05009112507104874,0.22947104275226593,0.025680940598249435
0.2,0.048411060124635696,0.2195316106081009,0.026232607662677765
0.21,0.04697903245687485,0.21014225482940674,0.026916977018117905
0.22,0.045766107738018036,0.20127353072166443,0.0277478639036417
0.23,0.04474721848964691,0.19291570782661438,0.028736025094985962
0.24,0.04389992728829384,0.18507352471351624,0.029888365417718887
0.25,0.043203748762607574,0.17776209115982056,0.031208666041493416
0.26,0.04264003783464432,0.1710020899772644,0.0326971672475338
0.27,0.042191535234451294,0.16481614112854004,0.03435039892792702
0.28,0.041842371225357056,0.15922380983829498,0.036161135882139206
0.29,0.041578032076358795,0.15423822402954102,0.03811832517385483
0.3,0.04138513654470444,0.14986281096935272,0.04020656645298004
0.31,0.041251614689826965,0.14608806371688843,0.04240572452545166
0.32,0.04116638004779816,0.14289095997810364,0.04469100013375282
0.33,0.04111942648887634,0.14023451507091522,0.047031644731760025
0.34,0.04110162332653999,0.13806959986686707,0.04939030855894089
0.35,0.04110456630587578,0.13633772730827332,0.05172322317957878
0.36,0.04112046957015991,0.13497479259967804,0.05397969111800194
0.37,0.04114221781492233,0.13391530513763428,0.056100089102983475
0.38,0.04116307944059372,0.1330963522195816,0.05801984295248985
0.39,0.04117688536643982,0.13246186077594757,0.059668928384780884
0.4,0.04117804020643234,0.13196539878845215,0.060982104390859604
0.41,0.04116182401776314,0.1315733790397644,0.06191030517220497
0.42,0.041124679148197174,0.13126599788665771,0.062453608959913254
0.43,0.04106491431593895,0.13103815913200378,0.06272437423467636
0.44,0.04098351299762726,0.13090087473392487,0.06307251751422882
0.45,0.04088538512587547,0.13088040053844452,0.0643119141459465
0.46,0.040780793875455856,0.1310177594423294,0.06803978234529495
0.47,0.04068760946393013,0.13136741518974304,0.0768626257777214
0.48,0.04063360020518303,0.1319962739944458,0.09417720884084702
0.49,0.04065941646695137,0.1329811066389084,0.12370926886796951
0.5,0.040821582078933716,0.1344066560268402,0.16968460381031036
