t,ref_norm,pred_norm,ref_rms,pred_rms,ref_max_abs,pred_max_abs,pred_ref_norm_ratio,cosine,l2,near_zero_ref
0.0,0.0,0.09703768,0.0,0.0007288859342224896,0.0,0.004131989553570747,nan,nan,nan,True
0.009999999776482582,0.009046613,0.089238726,6.795246008550748e-05,0.000670305045787245,0.00039301521610468626,0.00362463784404099,9.864324569702148,0.28654181957244873,nan,True
0.019999999552965164,0.04077683,0.11881151,0.0003062898467760533,0.0008924371795728803,0.0018084305338561535,0.005307547748088837,2.9137015342712402,0.6483713984489441,2.38984,False
0.029999999329447746,0.09624749,0.18525417,0.0007229504990391433,0.0013915125746279955,0.004145339597016573,0.007415757514536381,1.9247689247131348,0.789900541305542,1.2899548,False
0.03999999910593033,0.17564197,0.27885804,0.0013193117920309305,0.002094605704769492,0.0074297660030424595,0.010072114877402782,1.5876504182815552,0.8414083123207092,0.9213627,False
0.05000000074505806,0.27896994,0.39579228,0.00209544668905437,0.002972942078486085,0.011545509099960327,0.013300348073244095,1.4187631607055664,0.8670015931129456,0.7434711,False
0.05999999865889549,0.40610528,0.53513646,0.0030504069291055202,0.004019607789814472,0.01644059270620346,0.017166301608085632,1.3177284002304077,0.8837177157402039,0.63828576,False
0.07000000029802322,0.55679995,0.69677275,0.004182330798357725,0.005233717150986195,0.02221754379570484,0.021727146580815315,1.2513879537582397,0.8965024352073669,0.5676507,False
0.07999999821186066,0.7306927,0.8806954,0.005488503258675337,0.006615228485316038,0.02878757007420063,0.02707080729305744,1.2052884101867676,0.9070718288421631,0.51590115,False
0.09000000357627869,0.9273146,1.0867766,0.006965402513742447,0.008163181133568287,0.03609009087085724,0.03327185660600662,1.1719610691070557,0.9161410331726074,0.47553092,False
0.10000000149011612,1.1460944,1.3146851,0.008608739823102951,0.009875086136162281,0.04425559565424919,0.04038114473223686,1.1471000909805298,0.9240649342536926,0.4425482,False
0.10999999940395355,1.386364,1.5638633,0.010413493029773235,0.011746754869818687,0.0531608872115612,0.04834093526005745,1.1280322074890137,0.9310536980628967,0.4146564,False
0.11999999731779099,1.6473614,1.833528,0.012373941950500011,0.013772307895123959,0.06276463717222214,0.057142361998558044,1.113008975982666,0.9372521638870239,0.3904474,False
0.12999999523162842,1.9282371,2.1226895,0.01448370236903429,0.015944305807352066,0.07304668426513672,0.06676989048719406,1.1008446216583252,0.9427712559700012,0.36901173,False
0.14000000059604645,2.2280571,2.430178,0.01673576422035694,0.01825396530330181,0.08398928493261337,0.0773899108171463,1.0907161235809326,0.9477021098136902,0.3497343,False
0.15000000596046448,2.5458093,2.7546701,0.019122516736388206,0.020691344514489174,0.09557677060365677,0.0887765884399414,1.0820410251617432,0.9521218538284302,0.33217937,False
0.1599999964237213,2.8804066,3.0947232,0.02163580060005188,0.023245610296726227,0.10779527574777603,0.10092312097549438,1.0744049549102783,0.9560974836349487,0.31602922,False
0.17000000178813934,3.2306924,3.4488058,0.0242669265717268,0.02590525522828102,0.12063230574131012,0.11385524272918701,1.0675128698349,0.9596866965293884,0.30104506,False
0.18000000715255737,3.5954452,3.8153217,0.027006717398762703,0.028658291324973106,0.1340763419866562,0.1273864060640335,1.0611542463302612,0.9629390239715576,0.2870447,False
0.1899999976158142,3.973382,4.1926365,0.029845543205738068,0.0314924456179142,0.1481163203716278,0.14146776497364044,1.0551807880401611,0.9658970832824707,0.27388802,False
0.20000000298023224,4.363164,4.5791016,0.03277333825826645,0.03439532592892647,0.16274107992649078,0.15604719519615173,1.049491047859192,0.9685962200164795,0.26146838,False
0.20999999344348907,4.7633986,4.973063,0.03577965125441551,0.03735451400279999,0.17793866991996765,0.17135021090507507,1.044015645980835,0.971065878868103,0.2497056,False
0.2199999988079071,5.1726437,5.37288,0.03885364159941673,0.040357690304517746,0.19369560480117798,0.1871955841779709,1.038710594177246,0.973330557346344,0.23854238,False
0.23000000417232513,5.589409,5.7769327,0.04198412224650383,0.04339267686009407,0.20999589562416077,0.20341989398002625,1.0335499048233032,0.9754095673561096,0.22794026,False
0.23999999463558197,6.012159,6.1836224,0.04515955224633217,0.046447474509477615,0.22682006657123566,0.2199619561433792,1.0285195112228394,0.977318525314331,0.21787684,False
0.25,6.4393144,6.5913873,0.048368073999881744,0.04951034486293793,0.24414381384849548,0.23676015436649323,1.0236163139343262,0.9790697693824768,0.20834327,False
0.25999999046325684,6.86925,6.99869,0.0515974760055542,0.05256975069642067,0.26193666458129883,0.2537514269351959,1.018843412399292,0.9806733727455139,0.19934098,False
0.27000001072883606,7.3002996,7.4040303,0.054835252463817596,0.0556144118309021,0.28016045689582825,0.27087387442588806,1.0142091512680054,0.9821375012397766,0.19087903,False
0.2800000011920929,7.730753,7.805938,0.058068547397851944,0.05863328278064728,0.2987678050994873,0.2883322834968567,1.0097254514694214,0.9834690093994141,0.18297042,False
0.28999999165534973,8.158859,8.202978,0.06128420680761337,0.06161559745669365,0.3177005648612976,0.30607709288597107,1.005407452583313,0.984674870967865,0.17562872,False
0.30000001192092896,8.582828,8.593753,0.06446880102157593,0.06455085426568985,0.33688876032829285,0.3240000307559967,1.0012729167938232,0.9857615828514099,0.16886428,False
0.3100000023841858,9.000836,8.976897,0.06760861724615097,0.06742879748344421,0.35624977946281433,0.34202051162719727,0.9973403215408325,0.9867359399795532,0.1626807,False
