t,ref_norm,pred_norm,ref_rms,pred_rms,ref_max_abs,pred_max_abs,pred_ref_norm_ratio,cosine,l2,near_zero_ref
0.0,0.0,0.13098373,0.0,0.0009838670957833529,0.0,0.004704869817942381,nan,nan,nan,True
0.009999999776482582,0.009046613,0.122663565,6.795246008550748e-05,0.0009213713929057121,0.00039301521610468626,0.004217325244098902,13.559059143066406,0.13912782073020935,nan,True
0.019999999552965164,0.04077683,0.14583905,0.00030628987587988377,0.0010954509489238262,0.0018084305338561535,0.005782377906143665,3.5765175819396973,0.4635830521583557,3.236582,False
0.029999999329447746,0.096247494,0.20637457,0.0007229504990391433,0.0015501556918025017,0.004145339597016573,0.007681314833462238,2.144207239151001,0.666988730430603,1.6544808,False
0.03999999910593033,0.17564197,0.2971066,0.0013193117920309305,0.0022316775284707546,0.0074297660030424595,0.009984624572098255,1.6915466785430908,0.7643700242042542,1.1293372,False
0.05000000074505806,0.27896997,0.41253975,0.00209544668905437,0.0030987386126071215,0.011545509099960327,0.012732544913887978,1.4787962436676025,0.8156405091285706,0.8800636,False
0.05999999865889549,0.40610528,0.5503382,0.0030504069291055202,0.0041337935253977776,0.01644059270620346,0.016758838668465614,1.355161428451538,0.8473120331764221,0.7348325,False
0.07000000029802322,0.5568,0.70956016,0.004182330798357725,0.005329768639057875,0.02221754379570484,0.021915292367339134,1.2743537425994873,0.8694601655006409,0.6387395,False
0.07999999821186066,0.7306927,0.88974726,0.005488503258675337,0.0066832201555371284,0.02878757007420063,0.027811255306005478,1.2176764011383057,0.8862500190734863,0.5695738,False
0.09000000357627869,0.92731464,1.0905592,0.006965402513742447,0.008191592991352081,0.03609009087085724,0.03449147194623947,1.1760401725769043,0.89963299036026,0.5167858,False
0.10000000149011612,1.1460946,1.3116249,0.008608739823102951,0.009852099232375622,0.04425559565424919,0.0419350303709507,1.1444299221038818,0.9106415510177612,0.47475734,False
0.10999999940395355,1.3863641,1.552477,0.010413493029773235,0.011661228723824024,0.0531608872115612,0.05009360983967781,1.1198190450668335,0.9198803305625916,0.44022965,False
0.11999999731779099,1.6473616,1.8125222,0.012373942881822586,0.013614525087177753,0.06276463717222214,0.058979857712984085,1.1002576351165771,0.9277403354644775,0.41117913,False
0.12999999523162842,1.9282372,2.0910292,0.01448370236903429,0.015706492587924004,0.07304668426513672,0.06863553822040558,1.0844253301620483,0.934493899345398,0.38627264,False
0.14000000059604645,2.2280574,2.3871267,0.016735762357711792,0.017930591478943825,0.08398928493261337,0.07906579971313477,1.0713937282562256,0.9403485655784607,0.36458725,False
0.15000000596046448,2.5458095,2.6998062,0.019122516736388206,0.02027924172580242,0.09557677060365677,0.09017392247915268,1.0604902505874634,0.9454615116119385,0.34545517,False
0.1599999964237213,2.8804069,3.0279274,0.02163580060005188,0.02274388261139393,0.10779527574777603,0.10193854570388794,1.0512151718139648,0.9499619007110596,0.32837486,False
0.17000000178813934,3.2306926,3.3702333,0.0242669265717268,0.025315066799521446,0.12063230574131012,0.11445329338312149,1.0431921482086182,0.9539541006088257,0.31295887,False
0.18000000715255737,3.5954452,3.725354,0.027006717398762703,0.02798251062631607,0.1340763419866562,0.12756018340587616,1.036131501197815,0.9575181007385254,0.29890287,False
0.1899999976158142,3.9733822,4.091828,0.029845543205738068,0.030735233798623085,0.1481163203716278,0.14121192693710327,1.029809832572937,0.9607288837432861,0.28596517,False
0.20000000298023224,4.3631644,4.4681177,0.03277333825826645,0.03356168419122696,0.16274107992649078,0.15535858273506165,1.0240544080734253,0.9636393785476685,0.2739548,False
0.20999999344348907,4.763399,4.852618,0.03577965125441551,0.03644981235265732,0.17793866991996765,0.17018333077430725,1.0187301635742188,0.9662975072860718,0.26272255,False
0.2199999988079071,5.1726437,5.2436852,0.03885364159941673,0.039387259632349014,0.19369560480117798,0.18543408811092377,1.0137341022491455,0.9687358736991882,0.2521548,False
0.23000000417232513,5.5894094,5.639645,0.04198412224650383,0.04236145690083504,0.20999589562416077,0.20118530094623566,1.0089876651763916,0.9709817171096802,0.24216855,False
0.23999999463558197,6.01216,6.038811,0.04515955224633217,0.04535974562168121,0.22682006657123566,0.21737822890281677,1.0044329166412354,0.9730546474456787,0.23270704,False
0.25,6.439315,6.439509,0.048368073999881744,0.04836953431367874,0.24414381384849548,0.2338154911994934,1.0000301599502563,0.9749731421470642,0.22373614,False
0.25999999046325684,6.869251,6.840076,0.0515974797308445,0.05137833580374718,0.26193666458129883,0.2504292130470276,0.9957528114318848,0.9767469167709351,0.21523999,False
0.27000001072883606,7.3003,7.2388873,0.054835252463817596,0.054373957216739655,0.28016045689582825,0.26714929938316345,0.9915876388549805,0.9783850312232971,0.20721683,False
0.2800000011920929,7.7307534,7.634357,0.058068547397851944,0.057344481348991394,0.2987678050994873,0.2842206060886383,0.9875307679176331,0.9798927903175354,0.19967493,False
0.28999999165534973,8.15886,8.024955,0.06128420680761337,0.060278404504060745,0.3177005648612976,0.3013901710510254,0.9835877418518066,0.9812753200531006,0.19262812,False
0.30000001192092896,8.5828285,8.40921,0.06446880102157593,0.06316468864679337,0.33688876032829285,0.3185071051120758,0.9797714352607727,0.9825361967086792,0.18609083,False
0.3100000023841858,9.000836,8.785712,0.06760861724615097,0.06599272787570953,0.35624977946281433,0.3355104923248291,0.9760995507240295,0.9836815595626831,0.18007404,False
0.3199999928474426,9.4110365,9.153124,0.07068977504968643,0.06875249743461609,0.37568819522857666,0.3523408770561218,0.972594678401947,0.9847172498703003,0.17458145,False
0.33000001311302185,9.811565,9.510183,0.07369829714298248,0.07143449783325195,0.3950965404510498,0.36894094944000244,0.9692829847335815,0.9856465458869934,0.16960625,False
0.3400000035762787,10.200565,9.855703,0.07662021368741989,0.0740298330783844,0.4143567681312561,0.3852590322494507,0.9661918878555298,0.9864790439605713,0.16512956,False
0.3499999940395355,10.576198,10.188585,0.07944172620773315,0.07653023302555084,0.43334269523620605,0.4012424349784851,0.9633504748344421,0.9872219562530518,0.16112046,False
0.36000001430511475,10.936673,10.507814,0.08214939385652542,0.07892808318138123,0.45192307233810425,0.4168443977832794,0.9607871174812317,0.9878841638565063,0.15753695,False
0.3700000047683716,11.280275,10.812469,0.08473032712936401,0.08121644705533981,0.46996524930000305,0.4320191740989685,0.9585287570953369,0.9884724020957947,0.15432939,False
0.3799999952316284,11.605388,11.1017275,0.08717235922813416,0.08338917791843414,0.48733922839164734,0.446723073720932,0.9566012024879456,0.9889958500862122,0.15144387,False
0.38999998569488525,11.910518,11.374872,0.08946429938077927,0.08544087409973145,0.5039211511611938,0.461321085691452,0.9550275206565857,0.9894605875015259,0.14882736,False
0.4000000059604645,12.194324,11.631292,0.09159606695175171,0.08736693859100342,0.5195964574813843,0.4755932092666626,0.9538283944129944,0.9898762106895447,0.14643234,False
0.4099999964237213,12.455635,11.870493,0.0935588851571083,0.0891636535525322,0.5342622995376587,0.48931142687797546,0.9530218839645386,0.9902428388595581,0.14422157,False
0.41999998688697815,12.69346,12.092092,0.09534528106451035,0.09082816541194916,0.5478294491767883,0.5024502873420715,0.952623724937439,0.9905672073364258,0.14217165,False
0.4300000071525574,12.906993,12.295829,0.09694919735193253,0.09235850721597672,0.5602227449417114,0.5156351923942566,0.9526485800743103,0.9908468723297119,0.14027637,False
0.4399999976158142,13.095611,12.481561,0.09836597740650177,0.09375361353158951,0.5713810920715332,0.5281855463981628,0.9531102776527405,0.991081953048706,0.13854943,False
0.44999998807907104,13.258871,12.649265,0.09959227591753006,0.09501330554485321,0.5812563896179199,0.5400710701942444,0.9540228247642517,0.9912649393081665,0.13702603,False
0.46000000834465027,13.39649,12.799031,0.10062599182128906,0.09613823890686035,0.5898124575614929,0.5512632727622986,0.9554018378257751,0.9913935661315918,0.1357633,False
0.4699999988079071,13.508332,12.93106,0.10146607458591461,0.09712997078895569,0.5970237255096436,0.5617397427558899,0.9572654366493225,0.9914555549621582,0.13484064,False
0.47999998927116394,13.594393,13.045655,0.10211250931024551,0.0979907363653183,0.6028738617897034,0.5714786648750305,0.9596350193023682,0.9914421439170837,0.13435885,False
0.49000000953674316,13.654779,13.143221,0.10256610065698624,0.09872359037399292,0.6073542833328247,0.5804640650749207,0.9625362753868103,0.9913390874862671,0.13443784,False
0.5,13.689691,13.224243,0.10282832384109497,0.09933217614889145,0.6104629039764404,0.5886834263801575,0.9660001397132874,0.9911348819732666,0.13521326,False
